"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"dc5d64a38dd47258a0264560ee2c3bfb7e79d14b","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"f1bf12f9be2b6b230b07d61fb1b11032a23fa246","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"54fd906c4268cf3f825e54e0dba83ed7b590669e","   9072","Phasianinae","subfamily","0.9991","Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"8d7bca9ca9f803655c98fbe1ed533ae5ac97c19d"," 337752","Sciurini","tribe","0.9998","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"c4d89cc13a9fe24f6c0caec6b5429c33c04f471d","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"fcf12b4366a2f089a3a3b87b529c526cb2657e9c","  69292","Gasterosteus","genus","0.9992","Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"7c5a51b76da460ba215db4480dfd35a99eef8c8a"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"dd63054ec92248f49fb84b490c0647a7b5b814cd"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"988d2f5fee0b8781bb1b1d22ee3a58010772d5f4"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"e6368486fed38b630260c264abda1da2a34a1d30"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"d3226145220c2153de5e1ddcda01a0ca5785824a","   9606","Homo sapiens","species","0.9975","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"7e69e484403932e6c23e551785e8dac3971fff95"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"ef3118ffc3eadd5ed750840627ca91232dc0402a","   7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
