"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"96871b5018ca94bf812c5b86d0e077b7b68970d4","   8112","Percoidei","suborder","1.0000","Metazoa","Chordata","Actinopteri","Perciformes","","",""
"ace418d09c327d77433ed6f8b8b9e7cd9d64aa0e","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"c45b8ca5e17951d20afc99a8b685eb0401aac73e"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"8c417b125361e29cd383a55f7bdcdf4bc3ea9e72","   9987","Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
"fe4bc86011724ed5d12bc898cec530a443fabda5","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"4d09e260be02d627006efba9e9d24048db4d5e8b","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"47d90263f660c4c07ecb6131960515a746a8abef","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"2fa17facb1d808598281149e1117d6c692828c17","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"37f571d1266880a77865a78d3f0a5379733b2205"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"207e3d02a738c993e877d98243e6288ec80cb927","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"1bc3ba448b14d0a1141be53ad074510664498dc3","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"016517383adf00274ec5ff6c3f1cece6bf1684d3","   9373","Talpidae","family","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","",""
"2d2a611443cfd3a77ee04b072a38194264758d3b"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"b461bf94c14a40cd56756736701b9e982a7763a8"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"b895976d25a1d5c5380d5bfc3a07a2f934dcb99a","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"70e761b7366473c5ae35b5b372009f59a8e6cb5d"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"11638e92bfc39a04c3c8f8fd87ee1c1d4b2bfee4","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"004f5865d2e9cddae811f9f60baf546c98aaf62b","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"2213f32ebe2b67317d473d8cc7c4da8454d12603","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"cebb15dea940eae01e4a4cf884d0d36cdc2dc197","  32523","Tetrapoda","clade","0.9998","Metazoa","Chordata","","","","",""
"38bad609962e635b3eb0f811561dedec1dd72399"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"de906c1cc4bc0fdf413c52d5ee87c123c89f5531","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"d2f642f449f43fd9f151b78d0f5716f89384370b","      1","root","no rank","1.0000","","","","","","",""
"3516633f1e7168795aad3935d264bfd0a0d4e274","   8111","Perciformes","order","1.0000","Metazoa","Chordata","Actinopteri","Perciformes","","",""
"a71581da3be44e1fc2c9c8f4b7ffac9fbc6246d0","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"d228fb2a4aa513081c3195e647d808ec5958f3b2","  72872","Tachycineta","genus",NA,"Metazoa","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta",""
"1b127e737cc8dc753233e5451171253881447635","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"c3321ac8463692063ec41662aad64dcd5266ae4f","   9072","Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"2e5783d5c3596eeaa6669cf7218c0b06c7ea6c7e","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"e7dfd23a373a7f6855893231ae8a7c3210d96011"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"9bea96daf218b38ca7e55f302ad5bce16fcb078b","2068722","Anserinae","subfamily",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
