Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type,rc
9,NGN0917,COI.0921.2Brn.Dn.1,COI,B,148,UDP0148,UDP0148,,921,2Brn,Dn,1,,,
9,NGN0918,COI.0921.4Pad.Up5.1,COI,B,149,UDP0149,UDP0149,,921,4Pad,Up5,1,,,
9,NGN0919,COI.0921.5Sqm.Dn.3,COI,B,150,UDP0150,UDP0150,,921,5Sqm,Dn,3,,,
9,NGN0920,COI.1021.1Prt.Dn.1,COI,B,151,UDP0151,UDP0151,,1021,1Prt,Dn,1,,,
9,NGN0921,COI.1021.1Prt.Up.3,COI,B,152,UDP0152,UDP0152,,1021,1Prt,Up,3,,,
9,NGN0922,COI.1021.2Brn.Dn.2,COI,B,153,UDP0153,UDP0153,,1021,2Brn,Dn,2,,,
9,NGN0923,COI.1021.2Brn.Dn.3,COI,B,154,UDP0154,UDP0154,,1021,2Brn,Dn,3,,,
9,NGN0924,COI.1021.3Chk.Dn.3,COI,B,155,UDP0155,UDP0155,,1021,3Chk,Dn,3,,,
9,NGN0925,COI.1021.4Pad.Dn.2,COI,B,156,UDP0156,UDP0156,,1021,4Pad,Dn,2,,,
9,NGN0926,COI.1021.5Sqm.Up.1,COI,B,157,UDP0157,UDP0157,,1021,5Sqm,Up,1,,,
9,NGN0927,COI.1121.1Prt.Dn.2,COI,B,158,UDP0158,UDP0158,,1121,1Prt,Dn,2,,,
9,NGN0928,COI.1121.1Prt.Up.2,COI,B,159,UDP0159,UDP0159,,1121,1Prt,Up,2,,,
9,NGN0929,COI.1121.2Brn.Dn.1,COI,B,160,UDP0160,UDP0160,,1121,2Brn,Dn,1,,,
9,NGN0930,COI.1121.2Brn.Dn.3,COI,B,161,UDP0161,UDP0161,,1121,2Brn,Dn,3,,,
9,NGN0931,COI.1121.3Chk.Dn.1,COI,B,162,UDP0162,UDP0162,,1121,3Chk,Dn,1,,,
9,NGN0932,COI.1121.3Chk.Up.3,COI,B,163,UDP0163,UDP0163,,1121,3Chk,Up,3,,,
9,NGN0933,COI.1121.4Pad.Dn.3,COI,B,164,UDP0164,UDP0164,,1121,4Pad,Dn,3,,,
9,NGN0934,COI.1121.5Sqm.Dn.2,COI,B,165,UDP0165,UDP0165,,1121,5Sqm,Dn,2,,,
9,NGN0935,COI.1121.5Sqm.Dn.3,COI,B,166,UDP0166,UDP0166,,1121,5Sqm,Dn,3,,,
9,NGN0936,COI.1121.5Sqm.Up.3,COI,B,167,UDP0167,UDP0167,,1121,5Sqm,Up,3,,,
9,NGN0937,COI.1221.1Prt.Up.2,COI,B,168,UDP0168,UDP0168,,1221,1Prt,Up,2,,,
9,NGN0938,COI.1221.3Chk.Dn.1,COI,B,169,UDP0169,UDP0169,,1221,3Chk,Dn,1,,,
9,NGN0939,COI.1221.4Pad.Dn.2,COI,B,170,UDP0170,UDP0170,,1221,4Pad,Dn,2,,,
9,NGN0940,COI.1221.4Pad.Up11.2,COI,B,171,UDP0171,UDP0171,,1221,4Pad,Up11,2,,,
9,NGN0941,COI.1221.4Pad.Up5.1,COI,B,172,UDP0172,UDP0172,,1221,4Pad,Up5,1,,,
9,NGN0942,COI.1221.4Pad.Up5.2,COI,B,173,UDP0173,UDP0173,,1221,4Pad,Up5,2,,,
9,NGN0943,COI.1221.4Pad.Up5.3,COI,B,174,UDP0174,UDP0174,,1221,4Pad,Up5,3,,,
9,NGN0944,COI.1221.5Sqm.Dn.2,COI,B,175,UDP0175,UDP0175,,1221,5Sqm,Dn,2,,,
9,NGN0945,COI.0122.1Prt.Dn.1,COI,B,176,UDP0176,UDP0176,,122,1Prt,Dn,1,,,
9,NGN0946,COI.0122.1Prt.Up.2,COI,B,177,UDP0177,UDP0177,,122,1Prt,Up,2,,,
9,NGN0947,COI.0122.2Brn.Dn.1,COI,B,178,UDP0178,UDP0178,,122,2Brn,Dn,1,,,
9,NGN0948,COI.0122.2Brn.Dn.2,COI,B,179,UDP0179,UDP0179,,122,2Brn,Dn,2,,,
9,NGN0949,COI.0122.2Brn.Up.1,COI,B,180,UDP0180,UDP0180,,122,2Brn,Up,1,,,
9,NGN0950,COI.0122.2Brn.Up.3,COI,B,181,UDP0181,UDP0181,,122,2Brn,Up,3,,,
9,NGN0951,COI.0122.4Pad.Dn.3,COI,B,182,UDP0182,UDP0182,,122,4Pad,Dn,3,,,
9,NGN0952,COI.0122.4Pad.Dn.3.TR2,COI,B,183,UDP0183,UDP0183,,122,4Pad,Dn,3.TR2,,,
9,NGN0953,COI.0122.4Pad.Dn.3.TR3,COI,B,184,UDP0184,UDP0184,,122,4Pad,Dn,3.TR3,,,
9,NGN0954,COI.0122.5Sqm.Dn.1,COI,B,185,UDP0185,UDP0185,,122,5Sqm,Dn,1,,,
9,NGN0955,COI.0122.5Sqm.Up.2,COI,B,186,UDP0186,UDP0186,,122,5Sqm,Up,2,,,
9,NGN0956,COI.0222.1Prt.Dn.2,COI,B,187,UDP0187,UDP0187,,222,1Prt,Dn,2,,,
9,NGN0957,COI.0222.1Prt.Up.3,COI,B,188,UDP0188,UDP0188,,222,1Prt,Up,3,,,
9,NGN0958,COI.0222.2Brn.Dn.1,COI,B,189,UDP0189,UDP0189,,222,2Brn,Dn,1,,,
9,NGN0959,COI.0222.2Brn.Up.3,COI,B,190,UDP0190,UDP0190,,222,2Brn,Up,3,,,
