"","Sample_name","species","tot"
"336","MiMammal.0821.4Pad.Dn.1","Oncorhynchus mykiss",228
"337","MiMammal.0821.4Pad.Dn.2","Felis catus",173
"338","MiMammal.0821.4Pad.Dn.2","Gasterosteus aculeatus",2307
"339","MiMammal.0821.4Pad.Dn.2","Melospiza melodia",188
"340","MiMammal.0821.4Pad.Dn.2","Oncorhynchus clarkii",1979
"341","MiMammal.0821.4Pad.Dn.2","Oncorhynchus mykiss",656
"342","MiMammal.0821.4Pad.Dn.3","Gasterosteus aculeatus",2939
"343","MiMammal.0821.4Pad.Dn.3","Oncorhynchus clarkii",1165
"344","MiMammal.0821.4Pad.Dn.3","Oncorhynchus kisutch",111
"345","MiMammal.0821.4Pad.Dn.3","Oncorhynchus mykiss",1198
"346","MiMammal.0821.4Pad.Dn.3","Sturnus vulgaris",4
"347","MiMammal.0821.4Pad.Up11.1","Oncorhynchus clarkii",544
"348","MiMammal.0821.4Pad.Up11.1","Oncorhynchus kisutch",556
"349","MiMammal.0821.4Pad.Up11.1","Oncorhynchus mykiss",5055
"350","MiMammal.0821.4Pad.Up11.1","Perca flavescens",16
"351","MiMammal.0821.4Pad.Up11.1","Poecile atricapillus",44
"352","MiMammal.0821.4Pad.Up11.2","Bombycilla cedrorum",253
"353","MiMammal.0821.4Pad.Up11.2","Melospiza melodia",605
"354","MiMammal.0821.4Pad.Up11.2","Oncorhynchus clarkii",2782
"355","MiMammal.0821.4Pad.Up11.2","Oncorhynchus kisutch",3192
"356","MiMammal.0821.4Pad.Up11.2","Oncorhynchus mykiss",26815
"357","MiMammal.0821.4Pad.Up11.2","Perca flavescens",128
"358","MiMammal.0821.4Pad.Up11.3","Melospiza melodia",25
"359","MiMammal.0821.4Pad.Up11.3","Oncorhynchus clarkii",340
"360","MiMammal.0821.4Pad.Up11.3","Oncorhynchus kisutch",636
"361","MiMammal.0821.4Pad.Up11.3","Oncorhynchus mykiss",6439
"362","MiMammal.0821.4Pad.Up11.3","Sus scrofa",15843
"363","MiMammal.0821.4Pad.Up5.1","Melospiza melodia",12000
"364","MiMammal.0821.4Pad.Up5.1","Oncorhynchus kisutch",3101
"365","MiMammal.0821.4Pad.Up5.1","Perca flavescens",389
"366","MiMammal.0821.4Pad.Up5.2","Canis lupus",13125
"367","MiMammal.0821.4Pad.Up5.2","Oncorhynchus kisutch",8186
"368","MiMammal.0821.4Pad.Up5.2","Pipilo maculatus",10161
"369","MiMammal.0821.4Pad.Up5.2TR2","Gasterosteus aculeatus",1782
"370","MiMammal.0821.4Pad.Up5.2TR2","Oncorhynchus clarkii",336
"371","MiMammal.0821.4Pad.Up5.2TR2","Oncorhynchus mykiss",49
"372","MiMammal.0821.4Pad.Up5.2TR2","Sus scrofa",986
"373","MiMammal.0821.4Pad.Up5.2TR3","Gasterosteus aculeatus",779
"374","MiMammal.0821.4Pad.Up5.2TR3","Melospiza melodia",180
"375","MiMammal.0821.4Pad.Up5.2TR3","Oncorhynchus clarkii",129
"376","MiMammal.0821.4Pad.Up5.2TR3","Oncorhynchus mykiss",400
"377","MiMammal.0821.4Pad.Up5.3","Lampetra sp. CBM:ZF:17561",107
"378","MiMammal.0821.4Pad.Up5.3","Melospiza melodia",11443
