"Sample_name","class","species","tot"
"MiFish.0521.2Brn.Dn.1","Actinopteri","Oncorhynchus kisutch",91235
"MiFish.0521.2Brn.Dn.1","Aves","Turdus migratorius",524
"MiFish.0521.2Brn.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",2463
"MiFish.0521.2Brn.Dn.2","Actinopteri","Oncorhynchus clarkii",13759
"MiFish.0521.2Brn.Dn.2","Actinopteri","Oncorhynchus kisutch",21024
"MiFish.0521.2Brn.Dn.3","Actinopteri","Oncorhynchus clarkii",36881
"MiFish.0521.2Brn.Dn.3","Actinopteri","Oncorhynchus kisutch",58762
"MiFish.0521.3Chk.Dn.2","Actinopteri","Oncorhynchus clarkii",66383
"MiFish.0521.3Chk.Dn.3","Actinopteri","Oncorhynchus clarkii",34866
"MiFish.0521.3Chk.Up.1","Actinopteri","Oncorhynchus clarkii",32108
"MiFish.0521.3Chk.Up.2","Actinopteri","Oncorhynchus clarkii",37532
"MiFish.0521.3Chk.Up.3","Actinopteri","Oncorhynchus clarkii",83088
"MiFish.0521.4Pad.Dn.1","Actinopteri","Oncorhynchus clarkii",21160
"MiFish.0521.4Pad.Dn.1","Actinopteri","Oncorhynchus kisutch",9048
"MiFish.0521.4Pad.Dn.1","Actinopteri","Oncorhynchus mykiss",34585
"MiFish.0521.4Pad.Dn.1","Amphibia","Taricha granulosa",22687
"MiFish.0521.4Pad.Dn.2","Actinopteri","Oncorhynchus clarkii",12979
"MiFish.0521.4Pad.Dn.2","Actinopteri","Oncorhynchus kisutch",4289
"MiFish.0521.4Pad.Dn.2","Actinopteri","Oncorhynchus mykiss",17330
"MiFish.0521.4Pad.Dn.2","Actinopteri","Perca flavescens",2971
"MiFish.0521.4Pad.Dn.3","Actinopteri","Oncorhynchus clarkii",25261
"MiFish.0521.4Pad.Dn.3","Actinopteri","Oncorhynchus kisutch",15552
"MiFish.0521.4Pad.Dn.3","Actinopteri","Oncorhynchus mykiss",4932
"MiFish.0521.4Pad.Up11.1","Actinopteri","Oncorhynchus clarkii",43735
